16:48:17.396 [main] INFO  c.e.todolist.TodoListApplication - Starting TodoListApplication using Java 20.0.2 with PID 5128 (D:\GB_JAVA\Spring\Projects\Seminar8\HomeWorkSem8\TodoList\target\classes started by Сергей in D:\GB_JAVA\Spring\Projects\Seminar8\HomeWorkSem8\TodoList)
16:48:17.401 [main] INFO  c.e.todolist.TodoListApplication - No active profile set, falling back to 1 default profile: "default"
16:48:27.304 [main] INFO  c.e.todolist.TodoListApplication - Started TodoListApplication in 11.195 seconds (process running for 12.924)
16:49:54.814 [http-nio-8080-exec-7] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
16:49:55.246 [http-nio-8080-exec-7] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 428ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-05T16:48:21.850094), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-05T16:48:21.850094), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-05T16:48:21.850094), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-05T16:48:21.850094), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-05T16:48:21.850094)] 
16:50:27.648 [main] INFO  c.e.todolist.TodoListApplication - Starting TodoListApplication using Java 20.0.2 with PID 4752 (D:\GB_JAVA\Spring\Projects\Seminar8\HomeWorkSem8\TodoList\target\classes started by Сергей in D:\GB_JAVA\Spring\Projects\Seminar8\HomeWorkSem8\TodoList)
16:50:27.653 [main] INFO  c.e.todolist.TodoListApplication - No active profile set, falling back to 1 default profile: "default"
16:50:38.057 [main] INFO  c.e.todolist.TodoListApplication - Started TodoListApplication in 11.943 seconds (process running for 13.97)
16:50:48.506 [http-nio-8080-exec-6] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
16:50:48.815 [http-nio-8080-exec-6] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 305ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-05T16:50:32.140619), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-05T16:50:32.140619), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-05T16:50:32.140619)] 
16:53:12.474 [http-nio-8080-exec-1] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getTasksByStatus вызван с аргументами: [IN_PROGRESS]
16:53:12.590 [http-nio-8080-exec-1] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getTasksByStatus выполнился (Время выполнения: 93ms) с результатом - [Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619)] 
16:53:35.823 [http-nio-8080-exec-9] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.addTask вызван с аргументами: [Task(id=null, description=new task, status=null, createdAt=null)]
16:53:36.030 [http-nio-8080-exec-9] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод addTask выполнился (Время выполнения: 207ms) с результатом - Task(id=6, description=new task, status=NOT_STARTED, createdAt=2024-02-05T16:53:35.823783) 
16:53:36.070 [http-nio-8080-exec-10] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
16:53:36.082 [http-nio-8080-exec-10] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 12ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-05T16:50:32.140619), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-05T16:50:32.140619), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-05T16:50:32.140619), Task(id=6, description=new task, status=NOT_STARTED, createdAt=2024-02-05T16:53:35.823783)] 
16:54:08.978 [http-nio-8080-exec-6] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
16:54:08.997 [http-nio-8080-exec-6] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 18ms) с результатом - [Task(id=1, description=Task 1, status=NOT_STARTED, createdAt=2024-02-05T16:50:32.140619), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-05T16:50:32.140619), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-05T16:50:32.140619), Task(id=6, description=new task, status=NOT_STARTED, createdAt=2024-02-05T16:53:35.823783)] 
16:54:27.393 [http-nio-8080-exec-1] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
16:54:27.402 [http-nio-8080-exec-1] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод getAllTasks выполнился (Время выполнения: 9ms) с результатом - [Task(id=1, description=Сдать ДЗ, status=NOT_STARTED, createdAt=2024-02-05T16:50:32.140619), Task(id=2, description=Task 2, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=3, description=Task 3, status=COMPLETED, createdAt=2024-02-05T16:50:32.140619), Task(id=4, description=Task 4, status=IN_PROGRESS, createdAt=2024-02-05T16:50:32.140619), Task(id=5, description=Task 5, status=NOT_STARTED, createdAt=2024-02-05T16:50:32.140619), Task(id=6, description=new task, status=NOT_STARTED, createdAt=2024-02-05T16:53:35.823783)] 
16:54:31.639 [http-nio-8080-exec-5] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.updateTaskStatus вызван с аргументами: [4, COMPLETED]
16:54:31.646 [http-nio-8080-exec-5] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод updateTaskStatus выполнился (Время выполнения: 6ms) с результатом - Task(id=4, description=Task 4, status=COMPLETED, createdAt=2024-02-05T16:50:32.140619) 
16:54:31.659 [http-nio-8080-exec-6] INFO  c.e.todolist.aspect.UserActionAspect - Действие пользователя: user - Метод TaskService.getAllTasks вызван с аргументами: []
